order_id,delivery_time,first_name,last_name,order_details
2015-000001,12:08:09,Jorge,Patel,medium hawaiian
2015-000002,12:37:36,Brooklynn,Richard,medium classic_dlx;medium mexicana;large thai_ckn;large five_cheese;large ital_supr
2015-000003,12:58:03,Sarai,Warner,large prsc_argla;medium ital_supr
2015-000004,12:38:05,Hunter,Johns,medium ital_supr
2015-000005,13:02:30,Alina,Bender,medium ital_supr
2015-000006,13:11:08,Matilda,Cortes,small bbq_ckn;small the_greek
2015-000007,13:24:35,Andrea,Poole,small spinach_supr
2015-000008,13:25:47,Armani,Fuentes,small spinach_supr
2015-000009,13:26:04,Johnny,Richard,large ital_supr;small mexicana;large spin_pesto;large spicy_ital;large ital_cpcllo;small veggie_veg;small green_garden;small classic_dlx;small ital_supr
2015-000010,13:32:01,Alexandria,Mckinney,large mexicana;large southw_ckn
2015-000011,13:37:38,Nicholas,Richards,large pepperoni;large cali_ckn;medium cali_ckn;large bbq_ckn
2015-000012,13:35:41,Jace,Pope,small cali_ckn;medium ital_supr;large cali_ckn;large ckn_pesto
2015-000013,13:44:29,Camille,Camacho,large mexicana
2015-000014,13:52:46,Julia,Rhodes,small the_greek
2015-000015,14:17:43,Cyrus,Pierce,small big_meat;large five_cheese;large soppressata;small the_greek
2015-000016,14:11:20,Jonathan,Rowe,large thai_ckn;large four_cheese;small napolitana
2015-000017,14:27:25,Legacy,Manning,medium mediterraneo;large bbq_ckn;medium ital_supr;large mexicana;medium four_cheese;large spinach_fet;medium mediterraneo;large five_cheese;small ital_veggie;medium calabrese;small peppr_salami
2015-000018,14:28:45,Alaya,Farmer,large napolitana
2015-000019,14:31:17,Maximus,Brennan,large sicilian;large ital_cpcllo
2015-000020,14:58:02,Sergio,Beck,large five_cheese;small big_meat
2015-000021,14:53:25,Matteo,Pacheco,large ital_cpcllo
2015-000022,14:51:00,Iris,Mann,medium ital_cpcllo;large southw_ckn;large five_cheese
2015-000023,14:53:58,James,Rosales,small southw_ckn
2015-000024,15:04:14,Alexandria,Rosario,medium ital_cpcllo;medium pepperoni;small prsc_argla;medium bbq_ckn
2015-000025,15:17:52,Brianna,Ali,large thai_ckn;medium sicilian
2015-000026,15:22:17,Ruby,Baxter,small classic_dlx;large veggie_veg
2015-000027,15:53:18,Joel,Odonnell,large bbq_ckn;large spinach_fet;medium classic_dlx
2015-000028,16:06:35,Kora,Elliott,small ckn_alfredo
2015-000029,16:18:54,Beckett,Townsend,small green_garden
2015-000030,16:12:52,Penelope,Mills,large thai_ckn
2015-000031,16:36:01,Seth,Crawford,medium mexicana;small pepperoni
2015-000032,16:27:58,Parker,Moreno,large ital_cpcllo;large green_garden;small big_meat;medium ital_supr
2015-000033,16:27:09,Sage,Anderson,large bbq_ckn;small green_garden
2015-000034,16:55:50,Hattie,Schroeder,small the_greek
2015-000035,16:58:40,Jade,Sellers,medium pepperoni;large pep_msh_pep;large thai_ckn;medium green_garden
